method,dataset,category,seed,noise,run_id,Image-AUROC,Image-AP,Pixel-AUROC,Pixel-AP,PRO,best_epoch
GLASS,mvtec,bottle,0,0.1,20251025-222321,0.992063492063492,0.997631120632523,0.9542872277498552,0.7216447094134295,0.9309714559449476,8
GLASS,mvtec,cable,0,0.1,20251025-222321,0.915104947526237,0.9542911286112552,0.948844243418141,0.4835246685240102,0.8689602912261982,77
GLASS,mvtec,capsule,0,0.1,20251025-222321,0.9601116872756282,0.9922431369310842,0.9685496601553576,0.334288378218699,0.9257241389850892,154
GLASS,mvtec,carpet,0,0.1,20251025-222321,0.9959871589085072,0.9987251260455056,0.995702265291644,0.807192377459745,0.9876175651271976,489
GLASS,mvtec,grid,0,0.1,20251025-222321,1.0,1.0000000000000002,0.9928613918237484,0.4544155481370863,0.9675896365927036,463
GLASS,mvtec,hazelnut,0,0.1,20251025-222321,1.0,0.9999999999999998,0.9891893344382388,0.6404024037076826,0.8734972850757945,36
GLASS,mvtec,leather,0,0.1,20251025-222321,1.0,1.0,0.9984503629730702,0.7791709421768207,0.9938226147607024,530
GLASS,mvtec,metal_nut,0,0.1,20251025-222321,1.0,1.0,0.9861797498782136,0.8696473268347453,0.9668822828451956,148
GLASS,mvtec,pill,0,0.1,20251025-222321,0.9773595199127114,0.99591375611933,0.9913397377974072,0.8370598644319606,0.7749923719823584,213
GLASS,mvtec,screw,0,0.1,20251025-222321,0.9577782332445172,0.9856716892178596,0.9822723960473057,0.2765229007557954,0.8893775125038791,85
GLASS,mvtec,tile,0,0.1,20251025-222321,1.0,0.9999999999999998,0.9964044035087668,0.9661698480318496,0.9743330673815846,607
GLASS,mvtec,toothbrush,0,0.1,20251025-222321,1.0,1.0,0.9913132309730776,0.5898690457387661,0.9323369325348536,520
GLASS,mvtec,transistor,0,0.1,20251025-222321,0.9675,0.9601618447395194,0.9273855105026682,0.511280934730034,0.8336681141067577,44
GLASS,mvtec,wood,0,0.1,20251025-222321,0.999122807017544,0.999726775956284,0.988571262809948,0.8408463099566507,0.972539968249556,315
GLASS,mvtec,zipper,0,0.1,20251025-222321,0.9992121848739496,0.9997904849834924,0.995230159243626,0.7943373382940976,0.9796060100840104,597
