method,dataset,category,seed,noise,run_id,Image-AUROC,Pixel-AUROC,PRO,params(M),FLOPs(G),latency(ms/img),gpu_mem(MB)
DDAD,mvtec,bottle,2,0.0,20251014-103534,0.9833333333333333,0.9842943549156189,,32.952707,N/A,N/A,N/A
DDAD,mvtec,cable,2,0.0,20251014-103534,0.9525862068965518,0.974454402923584,,32.952707,N/A,N/A,N/A
DDAD,mvtec,capsule,2,0.0,20251014-103534,0.7622656561627443,0.8858426213264465,,32.952707,N/A,N/A,N/A
DDAD,mvtec,carpet,2,0.0,20251014-103534,0.869983948635634,0.9210180044174194,,32.952707,N/A,N/A,N/A
DDAD,mvtec,grid,2,0.0,20251014-103534,1.0,0.9871973395347595,,32.952707,N/A,N/A,N/A
DDAD,mvtec,hazelnut,2,0.0,20251014-103534,0.8242857142857143,0.9514585733413696,,32.952707,N/A,N/A,N/A
DDAD,mvtec,leather,2,0.0,20251014-103534,1.0,0.9921709299087524,,32.952707,N/A,N/A,N/A
DDAD,mvtec,metal_nut,2,0.0,20251014-103534,0.8739002932551319,0.9619208574295044,,32.952707,N/A,N/A,N/A
DDAD,mvtec,pill,2,0.0,20251014-103534,0.7744135297326786,0.9610965847969055,,32.952707,N/A,N/A,N/A
DDAD,mvtec,screw,2,0.0,20251014-103534,0.6450092232014756,0.8151390552520752,,32.952707,N/A,N/A,N/A
DDAD,mvtec,tile,2,0.0,20251014-103534,1.0,0.980489194393158,,32.952707,N/A,N/A,N/A
DDAD,mvtec,toothbrush,2,0.0,20251014-103534,0.7972222222222222,0.9673334956169128,,32.952707,N/A,N/A,N/A
DDAD,mvtec,transistor,2,0.0,20251014-103534,0.98,0.9057866930961609,,32.952707,N/A,N/A,N/A
DDAD,mvtec,wood,2,0.0,20251014-103534,0.9833333333333333,0.9559898376464844,,32.952707,N/A,N/A,N/A
DDAD,mvtec,zipper,2,0.0,20251014-103534,0.9868697478991597,0.9791238903999329,,32.952707,N/A,N/A,N/A
