method,dataset,category,seed,noise,run_id,Image-AUROC,Pixel-AUROC,PRO,params(M),FLOPs(G),latency(ms/img),gpu_mem(MB)
DDAD,mvtec,bottle,1,0.0,20251014-083003,0.9793650793650793,0.9838318824768066,,32.952707,N/A,N/A,N/A
DDAD,mvtec,cable,1,0.0,20251014-083003,0.9387181409295352,0.9721836447715759,,32.952707,N/A,N/A,N/A
DDAD,mvtec,capsule,1,0.0,20251014-083003,0.7546868767451137,0.8983839750289917,,32.952707,N/A,N/A,N/A
DDAD,mvtec,carpet,1,0.0,20251014-083003,0.8539325842696629,0.9154963493347168,,32.952707,N/A,N/A,N/A
DDAD,mvtec,grid,1,0.0,20251014-083003,1.0,0.9870060086250305,,32.952707,N/A,N/A,N/A
DDAD,mvtec,hazelnut,1,0.0,20251014-083003,0.8014285714285714,0.9432669878005981,,32.952707,N/A,N/A,N/A
DDAD,mvtec,leather,1,0.0,20251014-083003,1.0,0.9927624464035034,,32.952707,N/A,N/A,N/A
DDAD,mvtec,metal_nut,1,0.0,20251014-083003,0.8797653958944281,0.9621343612670898,,32.952707,N/A,N/A,N/A
DDAD,mvtec,pill,1,0.0,20251014-083003,0.7400436442989635,0.9634597301483154,,32.952707,N/A,N/A,N/A
DDAD,mvtec,screw,1,0.0,20251014-083003,0.6302521008403361,0.8149716258049011,,32.952707,N/A,N/A,N/A
DDAD,mvtec,tile,1,0.0,20251014-083003,1.0,0.9782183170318604,,32.952707,N/A,N/A,N/A
DDAD,mvtec,toothbrush,1,0.0,20251014-083003,0.8194444444444444,0.9632483720779419,,32.952707,N/A,N/A,N/A
DDAD,mvtec,transistor,1,0.0,20251014-083003,0.975,0.9061439633369446,,32.952707,N/A,N/A,N/A
DDAD,mvtec,wood,1,0.0,20251014-083003,0.9894736842105263,0.9613052010536194,,32.952707,N/A,N/A,N/A
DDAD,mvtec,zipper,1,0.0,20251014-083003,0.98765756302521,0.9780272841453552,,32.952707,N/A,N/A,N/A
